quartier,prix_moyen_m2,nombre_ventes,surface_moyenne
Galvents-Corby,18620.18906384836,133,315.5983606557377
Plaine,8998.48246294217,19,320.70588235294116
Percy-Schneider,7691.921171902978,186,265.34567901234567
Gare,7513.809619907867,463,301.7487804878049
Centre,7352.5300433075545,111,321.7878787878788
Jardin Parisien,6794.43566086668,153,295.034965034965
Trivaux-la Garenne,5188.076600653016,147,285.42335766423355
